Time,x-coordinate,y-coordinate,temperature
3,-6.00E-03,-6.00E-03,3.86E+02
3,-4.00E-03,-6.00E-03,3.86E+02
3,-2.00E-03,-6.00E-03,3.86E+02
3,0.00E+00,-6.00E-03,3.86E+02
3,2.00E-03,-6.00E-03,3.86E+02
3,4.00E-03,-6.00E-03,3.86E+02
3,6.00E-03,-6.00E-03,3.86E+02
3,8.00E-03,-6.00E-03,3.86E+02
3,1.00E-02,-6.00E-03,3.86E+02
3,-1.00E-02,-4.00E-03,3.87E+02
3,-8.00E-03,-4.00E-03,3.87E+02
3,-6.00E-03,-4.00E-03,3.87E+02
3,-4.00E-03,-4.00E-03,3.87E+02
3,-2.00E-03,-4.00E-03,3.87E+02
3,0.00E+00,-4.00E-03,3.87E+02
3,2.00E-03,-4.00E-03,3.87E+02
3,4.00E-03,-4.00E-03,3.87E+02
3,6.00E-03,-4.00E-03,3.87E+02
3,8.00E-03,-4.00E-03,3.87E+02
3,1.00E-02,-4.00E-03,3.87E+02
3,-1.00E-02,-2.00E-03,3.88E+02
3,-8.00E-03,-2.00E-03,3.88E+02
3,-6.00E-03,-2.00E-03,3.88E+02
3,-4.00E-03,-2.00E-03,3.88E+02
3,-2.00E-03,-2.00E-03,3.88E+02
3,0.00E+00,-2.00E-03,3.88E+02
3,2.00E-03,-2.00E-03,3.88E+02
3,4.00E-03,-2.00E-03,3.88E+02
3,6.00E-03,-2.00E-03,3.88E+02
3,8.00E-03,-2.00E-03,3.88E+02
3,1.00E-02,-2.00E-03,3.88E+02
3,-1.00E-02,0.00E+00,3.89E+02
3,-8.00E-03,0.00E+00,3.89E+02
3,-6.00E-03,0.00E+00,3.89E+02
3,-4.00E-03,0.00E+00,3.89E+02
3,-2.00E-03,0.00E+00,3.89E+02
3,0.00E+00,0.00E+00,3.89E+02
3,2.00E-03,0.00E+00,3.89E+02
3,4.00E-03,0.00E+00,3.89E+02
3,6.00E-03,0.00E+00,3.89E+02
3,8.00E-03,0.00E+00,3.89E+02
3,1.00E-02,0.00E+00,3.89E+02
3,-1.00E-02,2.00E-03,3.91E+02
3,-8.00E-03,2.00E-03,3.91E+02
3,-6.00E-03,2.00E-03,3.91E+02
3,-4.00E-03,2.00E-03,3.91E+02
3,-2.00E-03,2.00E-03,3.91E+02
3,0.00E+00,2.00E-03,3.91E+02
3,2.00E-03,2.00E-03,3.91E+02
3,4.00E-03,2.00E-03,3.91E+02
3,6.00E-03,2.00E-03,3.91E+02
3,8.00E-03,2.00E-03,3.91E+02
3,1.00E-02,2.00E-03,3.91E+02
3,-1.00E-02,4.00E-03,3.93E+02
3,-8.00E-03,4.00E-03,3.93E+02
3,-6.00E-03,4.00E-03,3.93E+02
3,-4.00E-03,4.00E-03,3.93E+02
3,-2.00E-03,4.00E-03,3.93E+02
3,0.00E+00,4.00E-03,3.93E+02
3,2.00E-03,4.00E-03,3.93E+02
3,4.00E-03,4.00E-03,3.93E+02
3,6.00E-03,4.00E-03,3.93E+02
3,8.00E-03,4.00E-03,3.93E+02
3,1.00E-02,4.00E-03,3.93E+02
3,-1.00E-02,6.00E-03,3.95E+02
3,-8.00E-03,6.00E-03,3.95E+02
3,-6.00E-03,6.00E-03,3.95E+02
3,-4.00E-03,6.00E-03,3.95E+02
3,-2.00E-03,6.00E-03,3.95E+02
3,0.00E+00,6.00E-03,3.95E+02
3,2.00E-03,6.00E-03,3.95E+02
3,4.00E-03,6.00E-03,3.95E+02
3,6.00E-03,6.00E-03,3.95E+02
3,8.00E-03,6.00E-03,3.95E+02
3,1.00E-02,6.00E-03,3.95E+02
3,-1.00E-02,8.00E-03,3.98E+02
3,-8.00E-03,8.00E-03,3.98E+02
3,-6.00E-03,8.00E-03,3.98E+02
3,-4.00E-03,8.00E-03,3.98E+02
3,-2.00E-03,8.00E-03,3.98E+02
3,0.00E+00,8.00E-03,3.98E+02
3,2.00E-03,8.00E-03,3.98E+02
3,4.00E-03,8.00E-03,3.98E+02
3,6.00E-03,8.00E-03,3.98E+02
3,8.00E-03,8.00E-03,3.98E+02
3,1.00E-02,8.00E-03,3.98E+02
3,-8.00E-03,1.00E-02,4.00E+02
3,-6.00E-03,1.00E-02,4.00E+02
3,-4.00E-03,1.00E-02,4.00E+02
3,-2.00E-03,1.00E-02,4.00E+02
3,0.00E+00,1.00E-02,4.00E+02
3,2.00E-03,1.00E-02,4.00E+02
3,4.00E-03,1.00E-02,4.00E+02
3,6.00E-03,1.00E-02,4.00E+02
3,8.00E-03,1.00E-02,4.00E+02
7,-8.00E-03,-1.00E-02,3.99E+02
7,-6.00E-03,-1.00E-02,3.99E+02
7,-4.00E-03,-1.00E-02,3.99E+02
7,-2.00E-03,-1.00E-02,3.99E+02
7,0.00E+00,-1.00E-02,3.99E+02
7,2.00E-03,-1.00E-02,3.99E+02
7,4.00E-03,-1.00E-02,3.99E+02
7,6.00E-03,-1.00E-02,3.99E+02
7,8.00E-03,-1.00E-02,3.99E+02
7,-1.00E-02,-8.00E-03,3.99E+02
7,-8.00E-03,-8.00E-03,3.99E+02
7,-6.00E-03,-8.00E-03,3.99E+02
7,-4.00E-03,-8.00E-03,3.99E+02
7,-2.00E-03,-8.00E-03,3.99E+02
7,0.00E+00,-8.00E-03,3.99E+02
7,2.00E-03,-8.00E-03,3.99E+02
7,4.00E-03,-8.00E-03,3.99E+02
7,6.00E-03,-8.00E-03,3.99E+02
7,8.00E-03,-8.00E-03,3.99E+02
7,1.00E-02,-8.00E-03,3.99E+02
7,-1.00E-02,-6.00E-03,3.99E+02
7,-8.00E-03,-6.00E-03,3.99E+02
7,-6.00E-03,-6.00E-03,3.99E+02
7,-4.00E-03,-6.00E-03,3.99E+02
7,-2.00E-03,-6.00E-03,3.99E+02
7,0.00E+00,-6.00E-03,3.99E+02
7,2.00E-03,-6.00E-03,3.99E+02
7,4.00E-03,-6.00E-03,3.99E+02
7,6.00E-03,-6.00E-03,3.99E+02
7,8.00E-03,-6.00E-03,3.99E+02
7,1.00E-02,-6.00E-03,3.99E+02
7,-1.00E-02,-4.00E-03,3.99E+02
7,-8.00E-03,-4.00E-03,3.99E+02
7,-6.00E-03,-4.00E-03,3.99E+02
7,-4.00E-03,-4.00E-03,3.99E+02
7,-2.00E-03,-4.00E-03,3.99E+02
7,0.00E+00,-4.00E-03,3.99E+02
7,2.00E-03,-4.00E-03,3.99E+02
7,4.00E-03,-4.00E-03,3.99E+02
7,6.00E-03,-4.00E-03,3.99E+02
7,8.00E-03,-4.00E-03,3.99E+02
7,1.00E-02,-4.00E-03,3.99E+02
7,-1.00E-02,-2.00E-03,3.99E+02
7,-8.00E-03,-2.00E-03,3.99E+02
7,-6.00E-03,-2.00E-03,3.99E+02
7,-4.00E-03,-2.00E-03,3.99E+02
7,-2.00E-03,-2.00E-03,3.99E+02
7,0.00E+00,-2.00E-03,3.99E+02
7,2.00E-03,-2.00E-03,3.99E+02
7,4.00E-03,-2.00E-03,3.99E+02
7,6.00E-03,-2.00E-03,3.99E+02
7,8.00E-03,-2.00E-03,3.99E+02
7,1.00E-02,-2.00E-03,3.99E+02
7,-1.00E-02,0.00E+00,3.99E+02
7,-8.00E-03,0.00E+00,3.99E+02
7,-6.00E-03,0.00E+00,3.99E+02
7,-4.00E-03,0.00E+00,3.99E+02
7,-2.00E-03,0.00E+00,3.99E+02
7,0.00E+00,0.00E+00,3.99E+02
7,2.00E-03,0.00E+00,3.99E+02
7,4.00E-03,0.00E+00,3.99E+02
7,6.00E-03,0.00E+00,3.99E+02
7,8.00E-03,0.00E+00,3.99E+02
7,1.00E-02,0.00E+00,3.99E+02
7,-1.00E-02,2.00E-03,3.99E+02
7,-8.00E-03,2.00E-03,3.99E+02
7,-6.00E-03,2.00E-03,3.99E+02
7,-4.00E-03,2.00E-03,3.99E+02
7,-2.00E-03,2.00E-03,3.99E+02
7,0.00E+00,2.00E-03,3.99E+02
7,2.00E-03,2.00E-03,3.99E+02
7,4.00E-03,2.00E-03,3.99E+02
7,6.00E-03,2.00E-03,3.99E+02
7,8.00E-03,2.00E-03,3.99E+02
7,1.00E-02,2.00E-03,3.99E+02
7,-1.00E-02,4.00E-03,4.00E+02
7,-8.00E-03,4.00E-03,4.00E+02
7,-6.00E-03,4.00E-03,4.00E+02
7,-4.00E-03,4.00E-03,4.00E+02
7,-2.00E-03,4.00E-03,4.00E+02
7,0.00E+00,4.00E-03,4.00E+02
7,2.00E-03,4.00E-03,4.00E+02
7,4.00E-03,4.00E-03,4.00E+02
7,6.00E-03,4.00E-03,4.00E+02
7,8.00E-03,4.00E-03,4.00E+02
7,1.00E-02,4.00E-03,4.00E+02
7,-1.00E-02,6.00E-03,4.00E+02
7,-8.00E-03,6.00E-03,4.00E+02
7,-6.00E-03,6.00E-03,4.00E+02
7,-4.00E-03,6.00E-03,4.00E+02
7,-2.00E-03,6.00E-03,4.00E+02
7,0.00E+00,6.00E-03,4.00E+02
7,2.00E-03,6.00E-03,4.00E+02
7,4.00E-03,6.00E-03,4.00E+02
7,6.00E-03,6.00E-03,4.00E+02
7,8.00E-03,6.00E-03,4.00E+02
7,1.00E-02,6.00E-03,4.00E+02
7,-1.00E-02,8.00E-03,4.00E+02
7,-8.00E-03,8.00E-03,4.00E+02
7,-6.00E-03,8.00E-03,4.00E+02
7,-4.00E-03,8.00E-03,4.00E+02
7,-2.00E-03,8.00E-03,4.00E+02
7,0.00E+00,8.00E-03,4.00E+02
7,2.00E-03,8.00E-03,4.00E+02
7,4.00E-03,8.00E-03,4.00E+02
7,6.00E-03,8.00E-03,4.00E+02
7,8.00E-03,8.00E-03,4.00E+02
7,1.00E-02,8.00E-03,4.00E+02
7,-8.00E-03,1.00E-02,4.00E+02
7,-6.00E-03,1.00E-02,4.00E+02
7,-4.00E-03,1.00E-02,4.00E+02
7,-2.00E-03,1.00E-02,4.00E+02
7,0.00E+00,1.00E-02,4.00E+02
